<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AKRN,D,20210324,000000,6050.0000000,6150.0000000,6002.0000000,6118.0000000,12944
AKRN,D,20210325,000000,6120.0000000,6146.0000000,5982.0000000,6112.0000000,4384
AKRN,D,20210326,000000,6098.0000000,6116.0000000,6042.0000000,6076.0000000,1622
AKRN,D,20210329,000000,6078.0000000,6192.0000000,6060.0000000,6150.0000000,2765
AKRN,D,20210330,000000,6210.0000000,6210.0000000,6118.0000000,6140.0000000,4782
AKRN,D,20210331,000000,6132.0000000,6280.0000000,6130.0000000,6206.0000000,3095
AKRN,D,20210401,000000,6206.0000000,6304.0000000,6158.0000000,6184.0000000,7799
AKRN,D,20210402,000000,6184.0000000,6210.0000000,6180.0000000,6190.0000000,1033
AKRN,D,20210405,000000,6224.0000000,6244.0000000,6102.0000000,6144.0000000,4328
AKRN,D,20210406,000000,6142.0000000,6144.0000000,6054.0000000,6130.0000000,7003
AKRN,D,20210407,000000,6096.0000000,6244.0000000,6068.0000000,6240.0000000,4444
AKRN,D,20210408,000000,6220.0000000,6262.0000000,6172.0000000,6206.0000000,1639
AKRN,D,20210409,000000,6184.0000000,6204.0000000,6120.0000000,6190.0000000,2356
AKRN,D,20210412,000000,6164.0000000,6228.0000000,6122.0000000,6220.0000000,3501
AKRN,D,20210413,000000,6222.0000000,6242.0000000,6150.0000000,6198.0000000,2495
AKRN,D,20210414,000000,6192.0000000,6200.0000000,6144.0000000,6172.0000000,1478
AKRN,D,20210415,000000,6170.0000000,6204.0000000,6150.0000000,6178.0000000,1806
AKRN,D,20210416,000000,6182.0000000,6200.0000000,6168.0000000,6182.0000000,1064
AKRN,D,20210419,000000,6210.0000000,6210.0000000,6080.0000000,6158.0000000,2517
AKRN,D,20210420,000000,6148.0000000,6170.0000000,6098.0000000,6100.0000000,1432
AKRN,D,20210421,000000,6092.0000000,6168.0000000,6086.0000000,6162.0000000,1180
AKRN,D,20210422,000000,6154.0000000,6164.0000000,6106.0000000,6150.0000000,1088
AKRN,D,20210423,000000,6116.0000000,6184.0000000,6110.0000000,6138.0000000,1441
AKRN,D,20210426,000000,6144.0000000,6208.0000000,6142.0000000,6170.0000000,1441
AKRN,D,20210427,000000,6206.0000000,6210.0000000,6102.0000000,6126.0000000,1236
AKRN,D,20210428,000000,6140.0000000,6172.0000000,6130.0000000,6130.0000000,910
AKRN,D,20210429,000000,6154.0000000,6172.0000000,6118.0000000,6140.0000000,880
AKRN,D,20210430,000000,6140.0000000,6192.0000000,5982.0000000,5982.0000000,1966
AKRN,D,20210504,000000,6122.0000000,6122.0000000,6004.0000000,6040.0000000,5770
AKRN,D,20210505,000000,6090.0000000,6094.0000000,6040.0000000,6084.0000000,886
AKRN,D,20210506,000000,6088.0000000,6122.0000000,6010.0000000,6010.0000000,1244
AKRN,D,20210507,000000,6004.0000000,6016.0000000,5944.0000000,5964.0000000,3120
AKRN,D,20210510,000000,5978.0000000,5998.0000000,5924.0000000,5946.0000000,1373
AKRN,D,20210511,000000,5946.0000000,5956.0000000,5880.0000000,5950.0000000,2095
AKRN,D,20210512,000000,5950.0000000,6000.0000000,5930.0000000,5982.0000000,1220
AKRN,D,20210513,000000,5982.0000000,5982.0000000,5914.0000000,5968.0000000,2162
