<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GOOG-RM,D,20210413,000000,174300.0000000,175000.0000000,171691.0000000,172201.0000000,82
GOOG-RM,D,20210414,000000,172521.0000000,172709.0000000,170893.0000000,170940.0000000,54
GOOG-RM,D,20210415,000000,175000.0000000,176292.0000000,173340.0000000,175397.0000000,48
GOOG-RM,D,20210416,000000,173976.0000000,174134.0000000,172950.0000000,174134.0000000,34
GOOG-RM,D,20210419,000000,177500.0000000,177500.0000000,174501.0000000,175483.0000000,74
GOOG-RM,D,20210420,000000,174901.0000000,177000.0000000,174851.0000000,174900.0000000,67
GOOG-RM,D,20210421,000000,175698.0000000,176469.0000000,173158.0000000,175314.0000000,67
GOOG-RM,D,20210422,000000,175671.0000000,175671.0000000,171011.0000000,171011.0000000,68
GOOG-RM,D,20210423,000000,170349.0000000,174253.0000000,170249.0000000,173514.0000000,87
GOOG-RM,D,20210426,000000,173500.0000000,175335.0000000,172864.0000000,174671.0000000,51
GOOG-RM,D,20210427,000000,175403.0000000,181958.0000000,172810.0000000,176516.0000000,186
GOOG-RM,D,20210428,000000,176569.0000000,182959.0000000,176569.0000000,177602.0000000,267
GOOG-RM,D,20210429,000000,178085.0000000,181756.0000000,177305.0000000,181331.0000000,94
GOOG-RM,D,20210430,000000,180150.0000000,181895.0000000,180150.0000000,181641.0000000,33
GOOG-RM,D,20210504,000000,179868.0000000,180012.0000000,173500.0000000,176200.0000000,70
GOOG-RM,D,20210505,000000,176250.0000000,178100.0000000,175963.0000000,176618.0000000,113
GOOG-RM,D,20210506,000000,176760.0000000,176760.0000000,174802.0000000,176196.0000000,139
GOOG-RM,D,20210507,000000,177397.0000000,179043.0000000,176322.0000000,177236.0000000,21
GOOG-RM,D,20210510,000000,176033.0000000,176800.0000000,173530.0000000,174272.0000000,42
GOOG-RM,D,20210511,000000,171362.0000000,171713.0000000,170000.0000000,171000.0000000,59
GOOG-RM,D,20210512,000000,170535.0000000,170639.0000000,166677.0000000,167305.0000000,145
GOOG-RM,D,20210513,000000,167101.0000000,175500.0000000,165624.0000000,167595.0000000,102
GOOG-RM,D,20210514,000000,168501.0000000,171624.0000000,168407.0000000,171624.0000000,62
GOOG-RM,D,20210517,000000,171000.0000000,171049.0000000,170139.0000000,171049.0000000,24
GOOG-RM,D,20210518,000000,173141.0000000,173141.0000000,170000.0000000,170000.0000000,18
GOOG-RM,D,20210519,000000,169174.0000000,170617.0000000,167500.0000000,170617.0000000,32
GOOG-RM,D,20210520,000000,171892.0000000,173156.0000000,169473.0000000,173156.0000000,70
